x,y,z
-2,-2,0
-1.9,-2,-1.9323402480618987e-4
-1.8,-2,-5.451569376830781e-4
-1.7,-2,-0.0011298843635049374
-1.6,-2,-0.0020388754228993946
-1.5,-2,-0.0033782947383984912
-1.4,-2,-0.005263020422935447
-1.2999999999999998,-2,-0.007806859759260215
-1.2,-2,-0.011109077173091581
-1.1,-2,-0.015238069588517773
-1,-2,-0.0202138409972564
-0.8999999999999999,-2,-0.025991672435599168
-0.7999999999999998,-2,-0.03244986402852693
-0.7,-2,-0.039384459771657686
-0.5999999999999999,-2,-0.04651333104431021
-0.5,-2,-0.05349087715874721
-0.3999999999999999,-2,-0.059933022412734065
-0.2999999999999998,-2,-0.06545040321405028
-0.19999999999999996,-2,-0.06968599076586864
-0.09999999999999987,-2,-0.07235224699483629
0,-2,-0.07326255555493671
0.10000000000000009,-2,-0.07235224699483629
0.20000000000000018,-2,-0.06968599076586864
0.30000000000000027,-2,-0.06545040321405027
0.40000000000000036,-2,-0.059933022412734065
0.5,-2,-0.05349087715874721
0.6000000000000001,-2,-0.046513331044310165
0.7000000000000002,-2,-0.03938445977165768
0.8000000000000003,-2,-0.0324498640285269
0.9000000000000004,-2,-0.025991672435599137
1,-2,-0.0202138409972564
1.1,-2,-0.015238069588517773
1.2000000000000002,-2,-0.011109077173091569
1.3000000000000003,-2,-0.007806859759260204
1.4000000000000004,-2,-0.00526302042293544
1.5,-2,-0.0033782947383984912
1.6,-2,-0.0020388754228993946
1.7000000000000002,-2,-0.0011298843635049352
1.8000000000000003,-2,-5.45156937683077e-4
1.9000000000000004,-2,-1.9323402480618887e-4
2,-2,0
-2,-1.9,1.9323402480618987e-4
-1.9,-1.9,0
-1.8,-1.9,-3.919986063758154e-4
-1.7,-1.9,-0.0010824762189438524
-1.6,-1.9,-0.0021957978005408647
-1.5,-1.9,-0.0038776914084443026
-1.4,-1.9,-0.006287292713776867
-1.2999999999999998,-1.9,-0.009583860301267627
-1.2,-1.9,-0.013908253578376351
-1.1,-1.9,-0.01936028913383907
-1,-1.9,-0.025974245783484395
-0.8999999999999999,-1.9,-0.033695850397226564
-0.7999999999999998,-1.9,-0.04236477470972779
-0.7,-1.9,-0.05170674725349512
-0.5999999999999999,-1.9,-0.06133865768924235
-0.5,-1.9,-0.07078847839741921
-0.3999999999999999,-1.9,-0.07952961834092825
-0.2999999999999998,-1.9,-0.08702681317559469
-0.19999999999999996,-1.9,-0.09278832974015659
-0.09999999999999987,-1.9,-0.09641763537349747
0,-1.9,-0.097657167187525
0.10000000000000009,-1.9,-0.09641763537349742
0.20000000000000018,-1.9,-0.09278832974015659
0.30000000000000027,-1.9,-0.08702681317559463
0.40000000000000036,-1.9,-0.07952961834092821
0.5,-1.9,-0.07078847839741921
0.6000000000000001,-1.9,-0.06133865768924235
0.7000000000000002,-1.9,-0.051706747253495056
0.8000000000000003,-1.9,-0.04236477470972778
0.9000000000000004,-1.9,-0.033695850397226536
1,-1.9,-0.025974245783484395
1.1,-1.9,-0.01936028913383907
1.2000000000000002,-1.9,-0.013908253578376335
1.3000000000000003,-1.9,-0.009583860301267604
1.4000000000000004,-1.9,-0.006287292713776852
1.5,-1.9,-0.0038776914084443026
1.6,-1.9,-0.0021957978005408647
1.7000000000000002,-1.9,-0.001082476218943851
1.8000000000000003,-1.9,-3.919986063758137e-4
1.9000000000000004,-1.9,9.749566739009802e-19
2,-1.9,1.9323402480618987e-4
-2,-1.8,5.451569376830781e-4
-1.9,-1.8,3.919986063758154e-4
-1.8,-1.8,0
-1.7,-1.8,-7.618033362502951e-4
-1.6,-1.8,-0.002058737226855552
-1.5,-1.8,-0.004086565732512882
-1.4,-1.8,-0.00706120245857379
-1.2999999999999998,-1.8,-0.011201080086133523
-1.2,-1.8,-0.01670222499671654
-1.1,-1.8,-0.02370749094990275
-1,-1.8,-0.03227300572857167
-0.8999999999999999,-1.8,-0.04233637037396925
-0.7999999999999998,-1.8,-0.053692145472452685
-0.7,-1.8,-0.06598029855095024
-0.5999999999999999,-1.8,-0.07869232064820258
-0.5,-1.8,-0.09119760779194028
-0.3999999999999999,-1.8,-0.10278967147780428
-0.2999999999999998,-1.8,-0.11274828096311419
-0.19999999999999996,-1.8,-0.12041042178296385
-0.09999999999999987,-1.8,-0.1252406912964621
0,-1.8,-0.1268910201207181
0.10000000000000009,-1.8,-0.12524069129646204
0.20000000000000018,-1.8,-0.12041042178296385
0.30000000000000027,-1.8,-0.11274828096311414
0.40000000000000036,-1.8,-0.10278967147780428
0.5,-1.8,-0.09119760779194028
