Water Body,Phytoplankton (mg C/m3),Microzooplankton (mg C/m3),Name,Latitude,Longitude,comments
Atlantic Ocean Meridional Transects ,6.097085926,1.235736954,AMT1,-50.801,-57.417,
Atlantic Ocean Meridional Transects ,7.188474596,4.443101155,AMT1,-46.001,-56.284,
Atlantic Ocean Meridional Transects ,5.573176511,0.749390843,AMT1,-40.95,-55.233,
Atlantic Ocean Meridional Transects ,5.42717608,0.296038943,AMT1,-33.184,-46.419,
Atlantic Ocean Meridional Transects ,2.869668883,0.911622155,AMT1,-30.284,-43.384,
Atlantic Ocean Meridional Transects ,3.663196612,0.778553218,AMT1,-27.034,-40.135,
Atlantic Ocean Meridional Transects ,3.815750333,0.728225881,AMT1,-23.784,-37.384,
Atlantic Ocean Meridional Transects ,50.50843856,0.844844317,AMT1,-19.636,-35.352,
Atlantic Ocean Meridional Transects ,3.547855298,0.795278762,AMT1,-15.568,-33.436,
Atlantic Ocean Meridional Transects ,4.687212807,0.824425658,AMT1,-11.467,-31.55,
Atlantic Ocean Meridional Transects ,7.019240468,0.596263588,AMT1,-7.002,-29.501,
Atlantic Ocean Meridional Transects ,16.47312904,7.892577728,AMT1,-2.751,-27.518,
Atlantic Ocean Meridional Transects ,3.063167737,0.811697304,AMT1,1.386,-25.7,
Atlantic Ocean Meridional Transects ,6.627263962,0.726398766,AMT1,5.35,-23.968,
Atlantic Ocean Meridional Transects ,5.252820953,0.788009704,AMT1,9.235,-22.202,
Atlantic Ocean Meridional Transects ,7.593578025,0.969057869,AMT1,27.369,-21.833,
Atlantic Ocean Meridional Transects ,7.230257366,0.872284724,AMT1,13.051,-20.433,
Atlantic Ocean Meridional Transects ,9.517533405,0.815909128,AMT1,19.486,-20.384,
Atlantic Ocean Meridional Transects ,4.42955152,1.30442434,AMT1,23.284,-20.152,
Atlantic Ocean Meridional Transects ,52.59916093,1.799592042,AMT1,33.586,-20.05,
Atlantic Ocean Meridional Transects ,4.004106035,1.335469142,AMT1,42.25,-20.003,
Atlantic Ocean Meridional Transects ,16.2856504,0.966683283,AMT1,37.901,-19.985,
Atlantic Ocean Meridional Transects ,11.67654908,4.246837349,AMT1,47.001,-19.935,
Atlantic Ocean Meridional Transects ,160.6266625,4.595340115,AMT1,47.919,-14.835,
Atlantic Ocean Meridional Transects ,3.614670991,0.435888405,AMT1,48.919,-9.136,
Atlantic Ocean Meridional Transects ,6.895476967,1.147042645,AMT2,-47.633,-55.934,
Atlantic Ocean Meridional Transects ,5.014189759,0.798576431,AMT2,-43.418,-54.734,
Atlantic Ocean Meridional Transects ,4.493626505,0.112775748,AMT2,-39.401,-53.318,
Atlantic Ocean Meridional Transects ,5.049939516,0.702435365,AMT2,-36.05,-49.802,
Atlantic Ocean Meridional Transects ,18.82964252,0.967682425,AMT2,-33.383,-46.618,
Atlantic Ocean Meridional Transects ,7.266367758,0.683823626,AMT2,-30.3,-43.417,
Atlantic Ocean Meridional Transects ,8.838749847,0.492204181,AMT2,-27.45,-40.702,
Atlantic Ocean Meridional Transects ,10.45025324,1.083160292,AMT2,-24.351,-37.853,
Atlantic Ocean Meridional Transects ,6.83425788,1.053969287,AMT2,-19.901,-35.518,
Atlantic Ocean Meridional Transects ,7.892863735,2.576056552,AMT2,-15.168,-33.301,
Atlantic Ocean Meridional Transects ,11.4956613,0.57005381,AMT2,-11.234,-31.452,
Atlantic Ocean Meridional Transects ,7.717344548,0.735112709,AMT2,-7.469,-29.751,
Atlantic Ocean Meridional Transects ,7.486778775,1.120375832,AMT2,-3.919,-28.202,
Atlantic Ocean Meridional Transects ,10.38153995,1.171288895,AMT2,0.183,-26.4,
Atlantic Ocean Meridional Transects ,13.27542542,3.919988174,AMT2,3.402,-24.785,
Atlantic Ocean Meridional Transects ,9.288735009,2.027850552,AMT2,7.567,-22.935,
Atlantic Ocean Meridional Transects ,12.62542777,1.11185718,AMT2,26.534,-21.786,
Atlantic Ocean Meridional Transects ,67.07963401,2.620654052,AMT2,19.901,-21.317,
Atlantic Ocean Meridional Transects ,26.96653182,4.233124279,AMT2,30.918,-21.268,
Atlantic Ocean Meridional Transects ,19.74491606,4.13447054,AMT2,11.735,-21.05,
Atlantic Ocean Meridional Transects ,15.50980416,10.95725904,AMT2,35.65,-20.417,
Atlantic Ocean Meridional Transects ,43.74986885,8.063297381,AMT2,44.119,-20.003,
Atlantic Ocean Meridional Transects ,15.46985828,5.536763936,AMT2,39.886,-19.986,
Atlantic Ocean Meridional Transects ,69.78875095,9.180791113,AMT2,46.485,-14.052,
Atlantic Ocean Meridional Transects ,4.430802226,0.397559429,AMT2,48.75,-8.1,
Atlantic Ocean Meridional Transects ,11.95759672,0.607517872,AMT3,-51.919,-57.885,
Atlantic Ocean Meridional Transects ,7.285677419,0.568102358,AMT3,-48,-55.869,
Atlantic Ocean Meridional Transects ,6.670040099,0.82720525,AMT3,-43.569,-55.018,
Atlantic Ocean Meridional Transects ,7.720629387,1.860263631,AMT3,-37.801,-52.185,
Atlantic Ocean Meridional Transects ,4.317695147,1.262566641,AMT3,-35.702,-49.567,
