depth,latitude,depth_span,lat_span,no3,chl
0.63235654,15,0.7706877,0.5,0.006899795,0.084429674
0.63235654,15.5,0.7706877,0.5,0.003241223,0.078200996
0.63235654,16,0.7706877,0.5,0.001975591,0.074898586
0.63235654,16.5,0.7706877,0.5,0.003741396,0.073282
0.63235654,17,0.7706877,0.5,0.003703245,0.07334964
0.63235654,17.5,0.7706877,0.5,0.001333263,0.06978632
0.63235654,18,0.7706877,0.5,0.000999106,0.067899264
0.63235654,18.5,0.7706877,0.5,0.001694586,0.06973058
0.63235654,19,0.7706877,0.5,0.001558687,0.068701945
0.63235654,19.5,0.7706877,0.5,0.001296019,0.05973933
0.63235654,20,0.7706877,0.5,0.000921018,0.05511693
0.63235654,20.5,0.7706877,0.5,0.000851501,0.05024793
0.63235654,21,0.7706877,0.5,0.000858989,0.047947
0.63235654,21.5,0.7706877,0.5,0.000869135,0.046982598
0.63235654,22,0.7706877,0.5,0.000885971,0.045587227
0.63235654,22.5,0.7706877,0.5,0.000852046,0.04536237
0.63235654,23,0.7706877,0.5,0.000828948,0.045360886
0.63235654,23.5,0.7706877,0.5,0.000834909,0.045803748
0.63235654,24,0.7706877,0.5,0.0008295,0.046165086
0.63235654,24.5,0.7706877,0.5,0.0008393,0.046546962
0.63235654,25,0.7706877,0.5,0.000857967,0.04654975
0.63235654,25.5,0.7706877,0.5,0.000880518,0.046876606
0.63235654,26,0.7706877,0.5,0.000914404,0.047608506
0.63235654,26.5,0.7706877,0.5,0.000950609,0.047737256
0.63235654,27,0.7706877,0.5,0.000980429,0.04791626
0.63235654,27.5,0.7706877,0.5,0.001064165,0.047546767
0.63235654,28,0.7706877,0.5,0.001153885,0.04724342
0.63235654,28.5,0.7706877,0.5,0.001217061,0.047725502
0.63235654,29,0.7706877,0.5,0.001298556,0.047698177
0.63235654,29.5,0.7706877,0.5,0.001425511,0.04691042
0.63235654,30,0.7706877,0.5,0.001546321,0.046467356
0.63235654,30.5,0.7706877,0.5,0.001710009,0.046640635
0.63235654,31,0.7706877,0.5,0.001871963,0.04664088
0.63235654,31.5,0.7706877,0.5,0.001988856,0.04672436
0.63235654,32,0.7706877,0.5,0.002107177,0.046144858
0.63235654,32.5,0.7706877,0.5,0.002203757,0.04651599
0.63235654,33,0.7706877,0.5,0.002303855,0.047055434
0.63235654,33.5,0.7706877,0.5,0.002369722,0.047966123
0.63235654,34,0.7706877,0.5,0.002415346,0.049061008
0.63235654,34.5,0.7706877,0.5,0.002488886,0.05003163
0.63235654,35,0.7706877,0.5,0.002537516,0.05182186
0.63235654,35.5,0.7706877,0.5,0.002566455,0.05570414
0.63235654,36,0.7706877,0.5,0.002964535,0.065809414
0.63235654,36.5,0.7706877,0.5,0.009509952,0.08484955
0.63235654,37,0.7706877,0.5,0.041058227,0.11871861
0.63235654,37.5,0.7706877,0.5,0.15937588,0.15090217
0.63235654,38,0.7706877,0.5,0.2881239,0.16171256
0.63235654,38.5,0.7706877,0.5,0.5592209,0.17521594
0.63235654,39,0.7706877,0.5,0.78437644,0.17983042
0.63235654,39.5,0.7706877,0.5,1.2008082,0.1811043
0.63235654,40,0.7706877,0.5,1.5920452,0.18409498
0.63235654,40.5,0.7706877,0.5,1.938025,0.18619557
0.63235654,41,0.7706877,0.5,2.2529857,0.18981214
0.63235654,41.5,0.7706877,0.5,2.6245248,0.193574
0.63235654,42,0.7706877,0.5,3.2016985,0.2005745
0.63235654,42.5,0.7706877,0.5,3.842541,0.20481005
0.63235654,43,0.7706877,0.5,4.24427,0.20921302
0.63235654,43.5,0.7706877,0.5,4.6941924,0.21534306
0.63235654,44,0.7706877,0.5,5.3989286,0.22575475
0.63235654,44.5,0.7706877,0.5,5.9264536,0.23350193
0.63235654,45,0.7706877,0.5,6.440704,0.24388872
0.63235654,45.5,0.7706877,0.5,6.9995832,0.25345102
0.63235654,46,0.7706877,0.5,7.561745,0.2601777
0.63235654,46.5,0.7706877,0.5,8.208779,0.26793864
0.63235654,47,0.7706877,0.5,8.74872,0.27276567
0.63235654,47.5,0.7706877,0.5,8.939911,0.27706286
0.63235654,48,0.7706877,0.5,8.910524,0.28091902
0.63235654,48.5,0.7706877,0.5,9.087399,0.28792474
0.63235654,49,0.7706877,0.5,9.433691,0.29633808
0.63235654,49.5,0.7706877,0.5,9.414924,0.32031587
0.63235654,50,0.7706877,0.5,9.477801,0.335859
1.55561117,15,1.07582156,0.5,0.006880819,0.08443009
1.55561117,15.5,1.07582156,0.5,0.003222461,0.07820128
1.55561117,16,1.07582156,0.5,0.001957738,0.07489883
1.55561117,16.5,1.07582156,0.5,0.003723784,0.07328206
1.55561117,17,1.07582156,0.5,0.003686825,0.073349774
