station,name,latitude,longitude,elevation,month,dutr_normal,dutr_stddev,prcp_25pctl,prcp_50pctl,prcp_75pctl,prcp_normal,snow_25pctl,snow_50pctl,snow_75pctl,snow_normal,Tavg_normal,Tavg_stddev,Tmax_normal,Tmax_stddev,Tmin_normal,Tmin_stddev
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1,11.3,1.7,3.97,5.46,6.85,5.47,0,0,0,0.9,43,2.3,48.6,2.4,37.3,2.5
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2,14.3,2,1.98,3.53,4.19,3.52,0,0,1,0.9,44.3,2.5,51.4,2.6,37.1,2.8
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3,15.8,1.6,2.93,3.87,4.37,3.85,0,0,0,-7777,47.6,2.2,55.4,2.8,39.7,1.8
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4,17,1.7,2.05,2.5,3.29,2.79,0,0,0,0,51.4,1.7,59.9,2.1,42.9,1.7
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5,16.9,1.6,1.24,2.09,2.69,2.01,0,0,0,0,57.3,1.8,65.8,2.4,48.8,1.4
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,6,17.4,1.8,1.07,1.54,2.09,1.57,0,0,0,0,62,1.6,70.7,2.4,53.3,1
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,7,19.4,2.4,0.45,0.69,1.33,0.85,0,0,0,0,66.2,1.8,75.8,2.8,56.5,1.2
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,8,19.3,1.6,0.31,0.62,1.08,0.94,0,0,0,0,66.6,1.4,76.2,1.9,57,1.2
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,9,17.8,1.9,0.23,1.24,2.04,1.3,0,0,0,0,61.9,1.6,70.8,2.2,53.1,1.5
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,10,13.8,1.6,2.04,3.04,5,3.38,0,0,0,0,53.7,1.3,60.7,1.4,46.8,1.6
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,11,11.7,1.4,4.47,5.44,6.92,5.98,0,0,0,0.7,46.5,2.7,52.4,2.9,40.6,2.8
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,12,10.8,1,4.51,5.55,7.78,6.06,0,0,1.5,2.5,41.4,2,46.9,2,36,2.2
